offset,recall,matched,total
2.00,0.929,39,42
2.16,0.930,40,43
2.32,0.930,40,43
2.48,0.930,40,43
2.64,0.932,41,44
2.80,0.932,41,44
2.96,0.933,42,45
3.12,0.935,43,46
3.28,0.938,45,48
3.44,0.939,46,49
3.60,0.940,47,50
3.76,0.940,47,50
3.92,0.941,48,51
4.08,0.942,49,52
4.24,0.942,49,52
4.40,0.943,50,53
4.56,0.944,51,54
4.72,0.778,42,54
4.88,0.944,51,54
5.04,0.944,51,54
5.20,0.943,50,53
5.36,0.942,49,52
5.52,0.941,48,51
5.68,0.941,48,51
5.84,0.940,47,50
6.00,0.941,48,51
6.16,0.940,47,50
6.32,0.920,46,50
6.48,0.918,45,49
6.64,0.920,46,50
6.80,0.922,47,51
6.96,0.920,46,50
7.12,0.920,46,50
7.28,0.918,45,49
7.44,0.939,46,49
7.60,0.958,46,48
7.76,0.959,47,49
7.92,0.960,48,50
8.08,0.960,48,50
8.24,0.959,47,49
8.40,0.959,47,49
8.56,0.958,46,48
8.72,0.542,26,48
8.88,0.958,46,48
9.04,0.958,46,48
9.20,0.958,46,48
9.36,0.957,45,47
9.52,0.957,45,47
9.68,0.957,44,46
9.84,0.957,44,46
10.00,0.957,44,46
10.16,0.957,45,47
10.32,0.957,44,46
10.48,0.957,44,46
10.64,0.957,45,47
10.80,0.913,42,46
10.96,0.957,44,46
11.12,0.957,44,46
11.28,0.956,43,45
11.44,0.956,43,45
11.60,0.956,43,45
11.76,0.956,43,45
11.92,0.957,44,46
12.08,0.957,45,47
12.24,0.957,45,47
12.40,0.957,45,47
12.56,0.957,45,47
12.72,0.957,45,47
12.88,0.957,45,47
13.04,0.957,44,46
13.20,0.891,41,46
13.36,0.955,42,44
13.52,0.878,36,41
13.68,0.951,39,41
13.84,0.951,39,41
14.00,0.951,39,41
14.16,0.951,39,41
14.32,0.951,39,41
14.48,0.952,40,42
14.64,0.976,41,42
14.80,0.976,41,42
14.96,0.977,42,43
15.12,0.976,41,42
15.28,0.976,40,41
15.44,0.950,38,40
15.60,0.976,40,41
15.76,0.951,39,41
15.92,0.976,40,41
16.08,0.951,39,41
16.24,0.976,40,41
16.40,0.976,41,42
16.56,0.952,40,42
16.72,0.952,40,42
16.88,0.558,24,43
17.04,0.977,42,43
17.20,0.978,44,45
17.36,0.609,28,46
17.52,0.622,28,45
17.68,0.630,29,46
17.84,0.630,29,46
18.00,0.630,29,46
18.16,0.933,42,45
18.32,0.933,42,45
18.48,0.978,45,46
18.64,0.933,42,45
18.80,0.978,44,45
18.96,0.977,43,44
19.12,0.977,42,43
19.28,0.976,40,41
19.44,0.976,40,41
19.60,0.975,39,40
19.76,0.976,40,41
19.92,0.975,39,40
20.08,0.975,39,40
20.24,0.975,39,40
20.40,0.975,39,40
20.56,0.974,38,39
20.72,0.975,39,40
20.88,0.975,39,40
21.04,0.976,40,41
21.20,0.976,40,41
21.36,0.976,40,41
21.52,0.976,40,41
21.68,0.975,39,40
21.84,0.975,39,40
22.00,0.974,38,39
22.16,0.974,38,39
22.32,1.000,39,39
22.48,1.000,39,39
22.64,1.000,39,39
22.80,1.000,38,38
22.96,1.000,38,38
23.12,1.000,37,37
23.28,1.000,38,38
23.44,1.000,38,38
23.60,1.000,38,38
23.76,1.000,37,37
23.92,1.000,37,37
24.08,1.000,36,36
24.24,1.000,37,37
24.40,1.000,37,37
24.56,1.000,37,37
24.72,1.000,36,36
24.88,1.000,37,37
25.04,1.000,37,37
25.20,0.973,36,37
25.36,0.973,36,37
25.52,1.000,37,37
25.68,1.000,37,37
25.84,0.974,37,38
26.00,1.000,37,37
26.16,1.000,37,37
26.32,1.000,36,36
26.48,1.000,35,35
26.64,1.000,34,34
26.80,1.000,34,34
26.96,1.000,34,34
27.12,1.000,33,33
27.28,1.000,33,33
27.44,1.000,33,33
27.60,1.000,33,33
27.76,1.000,33,33
27.92,1.000,33,33
28.08,1.000,32,32
28.24,1.000,32,32
28.40,1.000,31,31
28.56,1.000,31,31
28.72,1.000,31,31
28.88,1.000,31,31
29.04,1.000,32,32
29.20,1.000,32,32
29.36,1.000,33,33
29.52,1.000,33,33
29.68,0.406,13,32
29.84,1.000,31,31
30.00,1.000,32,32
30.16,1.000,32,32
30.32,1.000,32,32
30.48,1.000,31,31
30.64,0.935,29,31
30.80,1.000,31,31
30.96,1.000,30,30
31.12,0.933,28,30
31.28,1.000,30,30
31.44,1.000,30,30
31.60,0.966,28,29
31.76,0.966,28,29
31.92,0.967,29,30
32.08,0.968,30,31
32.24,0.969,31,32
32.40,1.000,33,33
32.56,1.000,34,34
32.72,1.000,34,34
32.88,1.000,34,34
33.04,1.000,33,33
33.20,1.000,32,32
33.36,1.000,31,31
33.52,1.000,31,31
